AÑO,DIA,MES,DIA_SEMANA_OCURRENCIA,LOCALIDAD,GRAVEDAD,CLASE,CANTIDAD
2007,1,1,1,BOSA,CON HERIDOS,ATROPELLO,1
2007,1,1,1,BOSA,SOLO DANOS,CHOQUE,2
2007,1,1,1,CANDELARIA,SOLO DANOS,CHOQUE,1
2007,1,1,1,CHAPINERO,CON HERIDOS,CHOQUE,1
2007,1,1,1,CHAPINERO,CON HERIDOS,VOLCAMIENTO,1
2007,1,1,1,CHAPINERO,SOLO DANOS,CHOQUE,2
2007,1,1,1,ENGATIVA,CON HERIDOS,CHOQUE,2
2007,1,1,1,ENGATIVA,CON HERIDOS,OTRO,2
2007,1,1,1,ENGATIVA,SOLO DANOS,CHOQUE,1
2007,1,1,1,FONTIBON,CON HERIDOS,ATROPELLO,1
2007,1,1,1,FONTIBON,CON HERIDOS,CHOQUE,1
2007,1,1,1,FONTIBON,SOLO DANOS,CHOQUE,2
2007,1,1,1,KENNEDY,CON HERIDOS,ATROPELLO,1
2007,1,1,1,KENNEDY,CON HERIDOS,CAIDA DE OCUPANTE,1
2007,1,1,1,KENNEDY,CON HERIDOS,CHOQUE,2
2007,1,1,1,KENNEDY,CON HERIDOS,OTRO,1
2007,1,1,1,KENNEDY,SOLO DANOS,CHOQUE,5
2007,1,1,1,PUENTE ARANDA,CON HERIDOS,ATROPELLO,1
2007,1,1,1,PUENTE ARANDA,CON HERIDOS,CHOQUE,1
2007,1,1,1,PUENTE ARANDA,SOLO DANOS,CHOQUE,1
2007,1,1,1,RAFAEL URIBE URIBE,CON HERIDOS,ATROPELLO,1
2007,1,1,1,RAFAEL URIBE URIBE,CON HERIDOS,CHOQUE,1
2007,1,1,1,SAN CRISTOBAL,CON HERIDOS,ATROPELLO,1
2007,1,1,1,SAN CRISTOBAL,CON HERIDOS,CHOQUE,2
2007,1,1,1,SUBA,CON HERIDOS,ATROPELLO,2
2007,1,1,1,SUBA,CON HERIDOS,CHOQUE,2
2007,1,1,1,SUBA,CON HERIDOS,VOLCAMIENTO,2
2007,1,1,1,SUBA,SOLO DANOS,CHOQUE,1
2007,1,1,1,TEUSAQUILLO,CON HERIDOS,CHOQUE,1
2007,1,1,1,TEUSAQUILLO,CON HERIDOS,VOLCAMIENTO,1
2007,1,1,1,TUNJUELITO,CON HERIDOS,ATROPELLO,3
2007,1,1,1,TUNJUELITO,CON HERIDOS,CHOQUE,1
2007,1,1,1,USME,CON HERIDOS,ATROPELLO,1
2007,1,1,1,USME,SOLO DANOS,CHOQUE,1
2007,1,2,4,ANTONIO NARIÑO,SOLO DANOS,CHOQUE,1
2007,1,2,4,BARRIOS UNIDOS,CON HERIDOS,ATROPELLO,1
2007,1,2,4,BARRIOS UNIDOS,CON HERIDOS,CHOQUE,2
2007,1,2,4,BARRIOS UNIDOS,SOLO DANOS,CHOQUE,3
2007,1,2,4,BOSA,CON HERIDOS,OTRO,1
2007,1,2,4,BOSA,SOLO DANOS,CHOQUE,1
2007,1,2,4,CANDELARIA,CON HERIDOS,CHOQUE,2
2007,1,2,4,CHAPINERO,CON HERIDOS,CHOQUE,1
2007,1,2,4,CHAPINERO,CON HERIDOS,VOLCAMIENTO,1
2007,1,2,4,CIUDAD BOLIVAR,CON HERIDOS,ATROPELLO,1
2007,1,2,4,CIUDAD BOLIVAR,CON HERIDOS,CAIDA DE OCUPANTE,1
2007,1,2,4,CIUDAD BOLIVAR,CON MUERTOS,ATROPELLO,1
2007,1,2,4,CIUDAD BOLIVAR,SOLO DANOS,CHOQUE,1
2007,1,2,4,ENGATIVA,CON HERIDOS,ATROPELLO,1
2007,1,2,4,ENGATIVA,CON HERIDOS,CAIDA DE OCUPANTE,2
2007,1,2,4,ENGATIVA,SOLO DANOS,CHOQUE,3
2007,1,2,4,FONTIBON,CON HERIDOS,CHOQUE,1
2007,1,2,4,FONTIBON,CON HERIDOS,OTRO,2
2007,1,2,4,FONTIBON,SOLO DANOS,CHOQUE,1
2007,1,2,4,KENNEDY,CON HERIDOS,ATROPELLO,2
2007,1,2,4,KENNEDY,CON HERIDOS,CAIDA DE OCUPANTE,1
2007,1,2,4,KENNEDY,CON HERIDOS,CHOQUE,1
2007,1,2,4,KENNEDY,CON HERIDOS,OTRO,1
2007,1,2,4,KENNEDY,CON HERIDOS,VOLCAMIENTO,1
2007,1,2,4,LOS MARTIRES,CON HERIDOS,CHOQUE,1
2007,1,2,4,LOS MARTIRES,CON MUERTOS,ATROPELLO,1
2007,1,2,4,LOS MARTIRES,SOLO DANOS,CHOQUE,1
2007,1,2,4,PUENTE ARANDA,CON HERIDOS,ATROPELLO,1
2007,1,2,4,PUENTE ARANDA,CON HERIDOS,CAIDA DE OCUPANTE,1
2007,1,2,4,PUENTE ARANDA,CON HERIDOS,CHOQUE,3
2007,1,2,4,PUENTE ARANDA,SOLO DANOS,CHOQUE,1
2007,1,2,4,RAFAEL URIBE URIBE,CON HERIDOS,ATROPELLO,1
2007,1,2,4,RAFAEL URIBE URIBE,SOLO DANOS,CHOQUE,2
2007,1,2,4,SANTA FE,CON HERIDOS,ATROPELLO,1
2007,1,2,4,SANTA FE,CON HERIDOS,CAIDA DE OCUPANTE,1
2007,1,2,4,SANTA FE,CON HERIDOS,CHOQUE,1
2007,1,2,4,SANTA FE,CON MUERTOS,ATROPELLO,1
2007,1,2,4,SANTA FE,SOLO DANOS,CHOQUE,1
2007,1,2,4,SUBA,CON HERIDOS,ATROPELLO,1
2007,1,2,4,SUBA,CON HERIDOS,OTRO,1
2007,1,2,4,SUBA,SOLO DANOS,CHOQUE,2
2007,1,2,4,TEUSAQUILLO,CON HERIDOS,ATROPELLO,2
2007,1,2,4,TEUSAQUILLO,CON HERIDOS,OTRO,2
2007,1,2,4,TEUSAQUILLO,SOLO DANOS,CHOQUE,3
2007,1,2,4,TUNJUELITO,CON HERIDOS,CHOQUE,1
2007,1,2,4,USAQUEN,CON HERIDOS,ATROPELLO,1
2007,1,2,4,USAQUEN,CON HERIDOS,CHOQUE,1
2007,1,2,4,USAQUEN,CON HERIDOS,OTRO,1
2007,1,2,4,USAQUEN,SOLO DANOS,CHOQUE,3
2007,1,2,4,USME,CON HERIDOS,CAIDA DE OCUPANTE,1
2007,1,3,4,ANTONIO NARIÑO,SOLO DANOS,CHOQUE,3
2007,1,3,4,BARRIOS UNIDOS,CON HERIDOS,ATROPELLO,2
2007,1,3,4,BARRIOS UNIDOS,SOLO DANOS,CHOQUE,7
2007,1,3,4,BOSA,CON HERIDOS,ATROPELLO,1
2007,1,3,4,BOSA,CON HERIDOS,CHOQUE,1
2007,1,3,4,CHAPINERO,CON HERIDOS,ATROPELLO,1
2007,1,3,4,CHAPINERO,CON HERIDOS,CHOQUE,1
2007,1,3,4,CHAPINERO,SOLO DANOS,CHOQUE,10
2007,1,3,4,CIUDAD BOLIVAR,CON HERIDOS,ATROPELLO,3
2007,1,3,4,CIUDAD BOLIVAR,SOLO DANOS,CHOQUE,1
2007,1,3,4,ENGATIVA,CON HERIDOS,ATROPELLO,2
2007,1,3,4,ENGATIVA,CON HERIDOS,CHOQUE,5
2007,1,3,4,ENGATIVA,SOLO DANOS,CHOQUE,4
2007,1,3,4,FONTIBON,CON HERIDOS,CHOQUE,1
