FECHA_OCURRENCIA,LOCALIDAD_TEUSAQUILLO,LOCALIDAD_ENGATIVA,LOCALIDAD_PUENTE-ARANDA,LOCALIDAD_RAFAEL-URIBE-URIBE,LOCALIDAD_SUBA,LOCALIDAD_LOS-MARTIRES,LOCALIDAD_FONTIBON,LOCALIDAD_USME,LOCALIDAD_CIUDAD-BOLIVAR,LOCALIDAD_KENNEDY,LOCALIDAD_TUNJUELITO,LOCALIDAD_ANTONIO-NARIÑO,LOCALIDAD_BOSA,LOCALIDAD_CHAPINERO,LOCALIDAD_BARRIOS-UNIDOS,LOCALIDAD_USAQUEN,LOCALIDAD_SANTA-FE,LOCALIDAD_CANDELARIA,LOCALIDAD_SAN-CRISTOBAL,GRAVEDAD_CON-HERIDOS,GRAVEDAD_SOLO-DANOS,GRAVEDAD_CON-MUERTOS,CLASE_CON-HERIDOS,CLASE_SOLO-DANOS,CLASE_CON-MUERTOS
2007-01-07,28,48,31,17,36,20,47,10,12,75,13,12,16,28,18,25,20,3,14,216,250,7.0,216,250,7.0
2007-01-14,25,63,23,11,46,16,28,10,18,66,14,6,15,45,29,44,20,4,13,191,299,6.0,191,299,6.0
2007-01-21,32,63,36,24,60,26,56,10,16,86,22,11,18,45,44,76,25,4,21,292,372,11.0,292,372,11.0
2007-01-28,41,53,46,19,71,27,44,7,25,83,15,15,25,55,34,69,32,3,21,280,398,7.0,280,398,7.0
2007-02-04,50,57,47,19,54,25,47,8,22,82,25,16,25,56,49,76,24,3,17,301,389,12.0,301,389,12.0
2007-02-11,59,66,58,20,50,22,41,10,22,64,23,19,24,85,34,78,34,3,12,280,433,11.0,280,433,11.0
2007-02-18,52,54,53,17,77,21,50,11,33,94,18,20,19,80,55,85,27,8,16,303,478,9.0,303,478,9.0
2007-02-25,49,66,55,23,79,24,39,5,26,98,13,17,22,78,50,94,26,8,26,333,456,9.0,333,456,9.0
2007-03-04,57,64,44,31,77,22,47,10,27,91,20,18,7,70,53,67,29,13,25,318,440,14.0,318,440,14.0
2007-03-11,40,70,48,30,70,18,41,7,15,80,17,11,14,71,56,63,22,10,13,282,405,9.0,282,405,9.0
2007-03-18,49,62,50,25,73,29,44,8,34,82,15,15,20,73,50,77,26,5,21,314,436,8.0,314,436,8.0
2007-03-25,47,72,43,17,54,30,41,12,27,91,15,14,17,69,46,79,32,4,13,290,423,10.0,290,423,10.0
2007-04-01,41,62,44,24,60,22,50,9,34,75,14,21,25,54,39,82,29,6,13,293,398,13.0,293,398,13.0
2007-04-08,33,53,22,13,38,27,41,2,28,77,15,5,19,28,21,45,17,6,11,230,265,6.0,230,265,6.0
2007-04-15,49,62,54,16,57,25,51,9,21,74,20,10,17,66,44,60,27,6,18,299,379,8.0,299,379,8.0
2007-04-22,39,78,58,23,78,28,52,8,16,80,19,11,21,70,60,77,32,7,14,290,475,6.0,290,475,6.0
2007-04-29,57,74,56,18,77,32,48,8,29,86,14,10,15,66,46,63,22,12,11,294,441,9.0,294,441,9.0
2007-05-06,47,79,40,24,75,17,49,4,22,70,17,4,18,47,48,63,41,7,20,299,387,6.0,299,387,6.0
2007-05-13,48,81,44,20,61,28,46,11,22,72,13,15,15,74,49,82,24,5,19,301,417,11.0,301,417,11.0
2007-05-20,58,70,48,23,56,25,59,10,25,81,14,10,18,57,44,77,28,8,15,291,425,10.0,291,425,10.0
2007-05-27,46,58,40,15,64,17,48,8,23,70,18,13,13,63,30,77,22,3,8,241,388,7.0,241,388,7.0
2007-06-03,41,79,53,25,69,30,47,7,26,82,14,15,18,67,45,74,47,11,13,271,476,16.0,271,476,16.0
2007-06-10,37,70,63,21,77,19,43,8,23,95,17,13,17,51,49,57,21,4,21,266,432,8.0,266,432,8.0
2007-06-17,41,69,47,22,51,24,39,8,24,76,20,12,18,58,39,67,29,4,21,245,417,7.0,245,417,7.0
2007-06-24,44,74,51,17,62,22,49,3,33,81,17,8,12,35,42,59,21,1,13,223,402,19.0,223,402,19.0
2007-07-01,39,75,51,17,56,19,36,11,25,81,21,9,18,79,42,61,39,7,15,247,439,15.0,247,439,15.0
2007-07-08,38,49,45,12,54,21,38,12,21,77,15,10,12,35,36,46,18,5,16,203,345,12.0,203,345,12.0
2007-07-15,31,69,36,25,64,26,41,8,19,80,13,16,23,50,51,52,14,3,22,264,375,4.0,264,375,4.0
2007-07-22,55,57,46,25,70,26,46,3,20,74,10,11,17,52,39,52,26,10,13,240,405,7.0,240,405,7.0
2007-07-29,52,82,45,24,75,34,56,5,26,83,18,13,23,64,38,71,27,7,15,270,477,11.0,270,477,11.0
2007-08-05,61,70,42,24,59,30,44,4,23,81,17,16,17,57,36,68,27,6,18,266,416,18.0,266,416,18.0
2007-08-12,49,91,53,18,63,29,37,10,26,91,15,13,10,74,36,80,25,5,11,246,475,15.0,246,475,15.0
2007-08-19,43,67,47,21,80,31,44,6,19,74,17,11,25,71,38,68,28,9,17,247,460,9.0,247,460,9.0
2007-08-26,40,59,40,12,84,26,55,10,23,79,13,9,12,60,36,67,32,5,15,229,435,13.0,229,435,13.0
2007-09-02,55,60,52,20,64,30,58,6,14,86,14,9,19,81,45,74,35,10,19,270,471,10.0,270,471,10.0
2007-09-09,56,68,61,24,68,25,59,10,12,96,14,16,15,67,42,73,26,8,15,270,473,12.0,270,473,12.0
2007-09-16,55,69,54,18,69,20,62,8,20,68,20,4,19,45,57,67,17,11,15,260,426,12.0,260,426,12.0
2007-09-23,47,72,48,14,66,29,53,5,15,81,13,11,19,58,37,69,24,10,23,243,441,10.0,243,441,10.0
2007-09-30,49,78,53,23,55,21,59,11,20,70,11,11,18,71,53,65,22,9,17,243,461,12.0,243,461,12.0
2007-10-07,60,77,55,20,71,18,56,8,25,100,13,17,18,84,47,75,34,5,19,264,525,13.0,264,525,13.0
