,TOTAL_ACCIDENTES,GRAVEDAD,GRAVEDAD,GRAVEDAD,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA
,,SOLO DANOS,CON HERIDOS,CON MUERTOS,CHOQUE,ATROPELLO,VOLCAMIENTO,OTRO,CAIDA DE OCUPANTE,INCENDIO,AUTOLESION,KENNEDY,ENGATIVA,FONTIBON,SUBA,PUENTE ARANDA,CHAPINERO,TEUSAQUILLO,USAQUEN,LOS MARTIRES,SANTA FE,BARRIOS UNIDOS,RAFAEL URIBE URIBE,BOSA,SAN CRISTOBAL,TUNJUELITO,CIUDAD BOLIVAR,ANTONIO NARIÑO,USME,CANDELARIA,Jueves,Miercoles,Martes,Viernes,Domingo,Sábado,Lunes
FECHA_OCURRENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-07,473,250,216,7,350,61,33,20,9,0,0,75,48,47,36,31,28,28,25,20,20,18,17,16,14,13,12,12,10,3,81,76,71,70,64,61,50
2007-01-14,496,299,191,6,383,64,23,15,11,0,0,66,63,28,46,23,45,25,44,16,20,29,11,15,13,14,18,6,10,4,77,73,59,95,56,90,46
2007-01-21,675,372,292,11,499,83,39,37,17,0,0,86,63,56,60,36,45,32,76,26,25,44,24,18,21,22,16,11,10,4,95,101,100,91,73,114,101
2007-01-28,685,398,280,7,499,95,28,46,17,0,0,83,53,44,71,46,55,41,69,27,32,34,19,25,21,15,25,15,7,3,112,118,108,98,70,94,85
2007-02-04,702,389,301,12,514,96,25,45,22,0,0,82,57,47,54,47,56,50,76,25,24,49,19,25,17,25,22,16,8,3,69,103,104,135,77,117,97
2007-02-11,724,433,280,11,556,105,9,39,15,0,0,64,66,41,50,58,85,59,78,22,34,34,20,24,12,23,22,19,10,3,96,106,91,126,67,111,127
2007-02-18,790,478,303,9,596,106,21,50,17,0,0,94,54,50,77,53,80,52,85,21,27,55,17,19,16,18,33,20,11,8,103,127,120,127,92,123,98
2007-02-25,798,456,333,9,616,99,28,39,16,0,0,98,66,39,79,55,78,49,94,24,26,50,23,22,26,13,26,17,5,8,112,108,116,134,75,127,126
2007-03-04,772,440,318,14,569,106,21,57,19,0,0,91,64,47,77,44,70,57,67,22,29,53,31,7,25,20,27,18,10,13,114,113,101,127,61,146,110
2007-03-11,696,405,282,9,500,122,16,41,17,0,0,80,70,41,70,48,71,40,63,18,22,56,30,14,13,17,15,11,7,10,115,88,115,111,52,115,100
2007-03-18,758,436,314,8,563,101,28,46,20,0,0,82,62,44,73,50,73,49,77,29,26,50,25,20,21,15,34,15,8,5,112,91,130,111,88,111,115
2007-03-25,723,423,290,10,563,85,11,41,23,0,0,91,72,41,54,43,69,47,79,30,32,46,17,17,13,15,27,14,12,4,112,112,127,121,68,125,58
2007-04-01,704,398,293,13,528,102,15,38,21,0,0,75,62,50,60,44,54,41,82,22,29,39,24,25,13,14,34,21,9,6,100,109,93,109,76,111,106
2007-04-08,501,265,230,6,361,80,15,39,6,0,0,77,53,41,38,22,28,33,45,27,17,21,13,19,11,15,28,5,2,6,74,94,109,39,47,43,95
2007-04-15,686,379,299,8,508,97,16,48,17,0,0,74,62,51,57,54,66,49,60,25,27,44,16,17,18,20,21,10,9,6,93,98,99,111,88,112,85
2007-04-22,771,475,290,6,591,105,8,49,18,0,0,80,78,52,78,58,70,39,77,28,32,60,23,21,14,19,16,11,8,7,119,101,122,121,69,123,116
2007-04-29,744,441,294,9,559,106,9,59,11,0,0,86,74,48,77,56,66,57,63,32,22,46,18,15,11,14,29,10,8,12,114,105,107,134,92,104,88
2007-05-06,692,387,299,6,514,99,14,51,14,0,0,70,79,49,75,40,47,47,63,17,41,48,24,18,20,17,22,4,4,7,98,115,65,109,65,118,122
